id,name,phone,address,postal_code,lat,lng,category,hours,description,image,link,review_count,rating,category_kakao,description_kakao,last_order,kakao_place_id,kakao_place_url,menu_price_min,menu_price_median,menu_count,has_parking,has_group_seating,has_private_room,has_baby_chair,has_kids_menu,allows_pets,has_disabled_access,hours_source
9163742,Ziu BBQ,+82 2-777-2171,"Seoul 20, Toegye-ro 18-gil",04631,37.560005,126.98519,"Barbecue, Asian, Korean, Grill, Healthy",월 11:00~22:30 / 화 11:00~22:30 / 수 11:00~22:30 / 목 11:00~22:30 / 금 11:00~22:30 / 토 11:00~22:30 / 일 11:00~22:30,"Travelers' Choice 2025 Hi, this is ZIU BBQ. We are a small, family-run boutique Korean BBQ restaurant that has been in operation since 2002. Our goal is to provide our customers with exceptional K-BBQ & food, and Valuable experience. 1++(9) Korean beef sirloin, 450 marinated beef rip and Special K-liquor are our signatures. ** To ensure fair information and pricing, we refrain from creating paid reviews. Slow, but true to the path.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d9163742-Reviews-Ziu_BBQ-Seoul.html,201,4.9,Galbi (grilled short ribs),"Hello, this is Jiwoo. We aim to provide modern BBQ that satisfies everyone, young and old.",일 22:00 / 월 22:00 / 화 22:00 / 수 22:00 / 목 22:00 / 금 22:00 / 토 22:00,12364779,https://place.map.kakao.com/12364779,9000,23000,13,true,,,,,,true,kakao
33118839,Sunshine Charcoal Grilling,+82 2-772-9282,"Seoul 19-3, Myeongdong 10-gil Jung-gu",04537,37.56302,126.98561,"Seafood, Barbecue, Asian, Korean, Grill, Fusion, Healthy",월 11:00~23:00 / 화 11:00~23:00 / 수 11:00~23:00 / 목 11:00~23:00 / 금 11:00~23:00 / 토 11:00~23:00 / 일 11:00~23:00,"Sunshine Charcoal Grill (Yunseul Charcoal Grill), Myeongdong branch, is a premium Korean charcoal-grill restaurant located in the heart of Myeongdong, one of Seoul's top tourist areas. The interior reinterprets the warmth of a traditional hanok in a modern, refined style, offering a comfortable atmosphere for dining with family, friends, or a partner. Its pride lies in the expertise of grilling carefully selected 1++ grade Hanwoo and aged pork over premium charcoal. The harmony of the meat's juices and the charcoal aroma delivers a deep, rich flavor. Signature menu items include well-marbled ribeye, sweet-marinated galbi, and thick aged pork belly, along with healthy sides such as yukhoe bibimbap and sprout-and-water-dropwort bibimbap. Professional chefs grill the meat for you, and seasonal house-made sauces, fresh vegetables, and clean side dishes are served together. A value lunch special set is offered at lunchtime (11:00-13:00), and soju/wine pairing sets in the evening. Open daily 11:00 to 23:00 year-round, with group reservations and birthday/anniversary events always available.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d33118839-Reviews-Sunshine_Charcoal_Grilling-Seoul.html,50,4.8,"Meat, Korean BBQ","The pinnacle of 1++ grade Hanwoo charcoal grilling in the heart of Myeongdong, unforgettable flavors guaranteed!",,1377366922,https://place.map.kakao.com/1377366922,10000,19500,20,,,,,,,true,kakao
14803574,Flavors,+82 2-6282-6730,"Seoul 176 Sinbanpo-ro, Seocho-gu Seocho-gu",06546,37.503933,127.004745,"Seafood, Asian, Korean, Grill, Healthy",Sun 06:30~10:30 / Sun 11:30~16:00 / Sun 18:00~21:00 / Mon 06:30~10:00 / Mon 12:00~14:30 / Mon 18:00~21:00 / Tue 06:30~10:00 / Tue 12:00~14:30 / Tue 18:00~21:00 / Wed 06:30~10:00 / Wed 12:00~14:30 / Wed 18:00~21:00 / Thu 06:30~10:00 / Thu 12:00~14:30 / Thu 18:00~21:00 / Fri 06:30~10:00 / Fri 12:00~14:30 / Fri 18:00~21:00 / Sat 06:30~10:30 / Sat 11:30~16:00 / Sat 18:00~21:00,"Travelers’ Choice Best of the Best 2025 Indulge in delicious global cuisine in a dynamic and stylish atmosphere while dining at Flavors. Our restaurant is located in the JW Marriott Hotel Soul and serves breakfast, lunch and dinner daily.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d14803574-Reviews-Flavors-Seoul.html,2058,5.0,,A celebration of fresh lobster and abundant lamb chops.,,360787491,https://place.map.kakao.com/360787491,,,,true,true,true,true,true,,,tripadvisor
1174982,Tosokchon Samgyetang,+82 2-737-7444,"Seoul 5, Jahamun-ro 5-gil, Jongno-gu",03041,37.57775,126.97164,"Asian, Korean, Healthy, Soups",월 10:00~22:00 / 화 10:00~22:00 / 수 10:00~22:00 / 목 10:00~22:00 / 금 10:00~22:00 / 토 10:00~22:00 / 일 10:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d1174982-Reviews-Tosokchon_Samgyetang-Seoul.html,2721,4.2,Samgyetang (ginseng chicken soup),A deep ginseng chicken soup with rich nuts in a Hanok's elegance.,일 21:00 / 월 21:00 / 화 21:00 / 수 21:00 / 목 21:00 / 금 21:00 / 토 21:00,26545925,https://place.map.kakao.com/26545925,19000,25500,8,true,true,true,true,,,,kakao
10388017,Bbandak Bbandak Myeongdong Branch,+82 2-6953-0012,"Seoul Myeongdong 4-gil, 46 2F",04537,37.5617,126.983955,"Asian, Korean, Healthy",Sun 11:00~22:30 / Mon 11:00~22:30 / Tue 11:00~22:30 / Wed 11:00~22:30 / Thu 11:00~22:30 / Fri 11:00~22:30 / Sat 11:00~22:30,"A must-visit spot in Myeongdong! Taste the authentic Dakgalbi loved by locals. Fresh ingredients, generous portions, and unforgettable cheesy flavors await you.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d10388017-Reviews-Bbandak_Bbandak_Myeongdong_Branch-Seoul.html,93,4.5,,The charm of generous cheese dakgalbi with various sauces.,,844190428,https://place.map.kakao.com/844190428,13000,15000,4,,,,,,,,tripadvisor
14803418,The Margaux Grill,+82 2-6282-6759,"Seoul 176 Sinbanpo-ro, Seocho-gu Seocho-gu",06546,37.50391,127.00475,"Steakhouse, Bar, Grill",Sun 11:30~14:30 / Sun 18:00~22:00 / Mon 11:30~14:30 / Mon 18:00~22:00 / Tue 11:30~14:30 / Tue 18:00~22:00 / Wed 11:30~14:30 / Wed 18:00~22:00 / Thu 11:30~14:30 / Thu 18:00~22:00 / Fri 11:30~14:30 / Fri 18:00~22:00 / Sat 11:30~14:30 / Sat 18:00~22:00,"Travelers' Choice 2025 At The Margaux Grill, enjoy grilled cuisine paired with a variety of rare wines from the largest wine cellar in Korea in our outdoor gardens. The Margaux Grill is located inside the JW Marriott Hotel Seoul and is open for both lunch and dinner.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d14803418-Reviews-The_Margaux_Grill-Seoul.html,313,4.9,,The deep flavor and elegance of wood-fired grilling.,,1822313986,https://place.map.kakao.com/1822313986,28900,31900,3,true,true,true,,,,,tripadvisor
1371740,Mugyodong Bugeokukjib,+82 2-777-3891,"Seoul 38, Eulji-ro 1-gil, Jung-gu",04522,37.567886,126.979744,"Asian, Korean, Healthy, Soups",Sun 07:00~15:00 / Mon 07:00~20:00 / Tue 07:00~20:00 / Wed 07:00~20:00 / Thu 07:00~20:00 / Fri 07:00~20:00 / Sat 07:00~15:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d1371740-Reviews-Mugyodong_Bugeokukjib-Seoul.html,682,4.4,,A bowl of deep dried pollock soup with a 60-year tradition.,,11064200,https://place.map.kakao.com/11064200,11000,11000,1,,,,,,,true,tripadvisor
4343686,Atrio,+82 2-6137-7120,"Seoul 23-1, Yeouido-dong, Yeongdeungpo-gu 2F, Conrad Seoul",150948,37.525414,126.92661,"Italian, Pizza, Central-Italian",월 11:00~21:30 / 화 11:00~21:30 / 수 11:00~21:30 / 목 11:00~21:30 / 금 11:00~21:30 / 토 11:00~21:30 / 일 11:00~21:30,"Enjoy Italian dining as you’ve never experienced before. Atrio combines sky-high ceilings with hearty, down-to-earth Italian fare, offering simple yet authentic regional Italian recipes. This stylish restaurant features a 28m high ceiling adorned with designer lighting, elegant sculptures, a traditional pizza oven, an antipasti counter and a pasticceria counter. Bravissimo!",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d4343686-Reviews-Atrio-Seoul.html,376,4.8,Italian,Chewy dough with deep flavors of Italian cuisine.,일 21:00 / 월 21:00 / 화 21:00 / 수 21:00 / 목 21:00 / 금 21:00 / 토 21:00,27543646,https://place.map.kakao.com/27543646,39000,40000,6,,,,,,,,kakao
26822594,Daol Charcoal Grill,+82 2-3789-7774,"Seoul 54-2, Myeongdong 2-ga 1st And 2nd Floors",04536,37.56318,126.98396,"Barbecue, Korean, Fusion, Wine Bar, Beer restaurants",월 11:00~23:00 / 화 11:00~23:00 / 수 11:00~23:00 / 목 11:00~23:00 / 금 11:00~23:00 / 토 11:00~23:00 / 일 11:00~23:00,"Travelers' Choice 2025 Daol Charcoal Grill Myeongdong Branch is a restaurant in Myeongdong, Seoul where you can taste representative K-food foods such as bulgogi, pork belly, and soybean paste stew. We hope you enjoy it. We will always prepare fresh ingredients to reward our customers.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d26822594-Reviews-Daol_Charcoal_Grill-Seoul.html,589,4.9,"Meat, Korean BBQ",Myeongdong Daol Charcoal Grill! Enjoy the fresh taste infused with real charcoal! Experience the best in gourmet dining!,,254918904,https://place.map.kakao.com/254918904,12000,22000,15,,,,,,,true,kakao
14803417,Tamayura,+82 2-6282-6751,"Seoul 176 Sinbanpo-ro, Seocho-gu Seocho-gu",06546,37.503906,127.004745,"Japanese, Seafood, Sushi, Asian",월 11:30~22:00 / 화 11:30~22:00 / 수 11:30~22:00 / 목 11:30~22:00 / 금 11:30~22:00 / 토 11:30~22:00 / 일 11:30~22:00,Travelers' Choice 2025 Tamayura fuses South Korea's finest grade Edomae sushi and teppanyaki with authentic ingredients and sophisticated presentations. The eclectic ambiance and design of our restaurant draws you into an experience that touches all of your senses. Tamayura can be found inside the JW Marriott Hotel Soul and is open for lunch and dinner.,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d14803417-Reviews-Tamayura-Seoul.html,219,5.0,Japanese,Delight in a refined Japanese culinary experience crafted by the chef's hands.,,2140623859,https://place.map.kakao.com/2140623859,55000,100000,5,true,,true,,,,,kakao
