place_key,source_cid,lang,kind,category,name,summary,description,road_address,latitude,longitude,hours,fee,tags,homepage_url,start_date,end_date
yz09up,ENPyz09up,en,attraction,Culture > Parks,Rooftop Garden (The Roof),"A place where you can enjoy open views and comfortable relaxation in the heart of Seoul, it also serves as a connection between Seoul Station and Seoullo 7017","As the rooftop space of Culture Station Seoul 284 (Historic Site No. 284), it serves as a representative public rooftop location of Seoul and is emerging as a refined night view spot connected to Seoullo 7017.","4th Floor, 405 Hangang-daero, Jung-gu, Seoul",37.5547278494914,126.969526329341,24 hours,,"Seoul date courses,  Connect Place,  Seoul walking trails, Seoul attractions,  Seoul outings,  Seoul Station Park,  places to visit near Seoul Station, Seoul Station picnic spots",,,
qsaooa,ENPqsaooa,en,attraction,Culture > Parks,Inwangsan Shelter in the Woods,"Inwangsan Shelter in the Woods, a place where you can enjoy the tranquility of reading a book in the forest of Inwangsan Mountain","The Inwangsan Shelter in the Woods was originally one of the military guard posts built during the January 21 Incident in 1968. The Inwang 3rd Guard Post, which was the soldiers' living quarters (now the Inwangsan Shelter in the Woods), has been transformed into a public rest area by removing the reinforced concrete piloti structure and paneling and reconstructing it with a wooden architectural structure. The shelter offers both coziness and openness with its nature-friendly wooden interior and large panoramic windows that showcase the forest views of Inwangsan Mountain. It has become a popular spot for those seeking rest in nature, attracting not only hikers taking a break but also people looking for a quiet place to read and enjoy a peaceful moment in the forest.","San 4-36, Cheongun-dong, Jongno-gu, Seoul",37.5859537047415,126.964277654295,10:00~17:00,,"InwangsanMountain, Libraries, ForestLibraries, Reading, Culture, Rest",,,
e5w2yc,ENPe5w2yc,en,attraction,Culture > Parks,Yanghwa Hangang Park,"This location is Yanghwa Hangang Park, offering expansive vistas for you to delight in the stunning scenery.","Located along the southern bank of the Hangang River, from Yeouido Saetgang Harbor to Gangseo-gu Gayanggyo Bridge, this area offers an expansive grassy lawn on the dam, providing a panoramic view that is seldom seen elsewhere. There is a dedicated bicycle path from Yeouido Saetgang Harbor to Gayanggyo Bridge, and along the bicycle path below Seonyugyo Bridge, beautiful rose gardens bloom from May, making it a popular spot for couples and families to take photos.","221 Nodeul-ro, Yeongdeungpo-gu, Seoul (96-1 Dangsan-dong)",37.5382247983267,126.902407955662,All year around,,"Seonyugyo Bridge,  SeonyudoPark,  BikeRoad,  RunningCourse, HangangPark",https://hangang.seoul.go.kr/www/contents/678.do?mid=486,,
039707,ENP039707,en,attraction,Culture > Parks,Hyochang Park,"National cultural heritage site, Hyochang Park","Hyochang Park is a national cultural heritage site and a place where those who passed away fighting for the independence of Korea are enshrined. Kim Gu, also known by his penname Baekbeom, has his shrine and memorial here, increasing the deep historical meaning of this place. It's gaining popularity amongst many as a great place for dates, walking, and viewing cherry blossoms.","177-18, Hyochangwon-ro, Yongsan-gu, Seoul",37.5451826970622,126.960221399119,,Free,"GreatParksForWalking, SeoulCherryBlossoms, SeoulParkDate, DatePlaceRecommendations, ParkRecommendation, QuietPlacesInSeoul, HyochangParkDate, WalkingPlacesInSeoul, HyochangPark, SeoulHistoricalAttractions",,,
039706,ENP039706,en,attraction,Culture > Parks,Seoripul Park,"If you'd like to travel somewhere in the city with nature, recreational areas, and walking paths, visit Seoripul Park. Take in the clean fresh air of the forest in the city whose beauty can be felt each season.","If you'd like to travel somewhere in the city with nature, recreational areas, and walking paths, visit Seoripul Park. Seoripul Park, located in Banpo-dong, Seocho-gu, can be seen when passing by the Express Bus Terminal or Nueh Bridge by The Catholic University of Korea Seoul St. Mary's Hospital. This park, which is connected by Nueh Bridge and Seoripul Bridge, is a great place to take some time to heal while walking in nature even in the middle of the city. After sunset, enjoy the Seoul night views with the 2,000 colorful warm lights of Nueh Bridge. Take in the clean fresh air of the forest in the city whose beauty can be felt each season at Seoripul Park.","160-7 Seocho-daero, Seocho-gu, Seoul",37.4889927268503,127.000079151118,,Free,"SeoulWalkingPath, GangnamWalkingPath, CherryBlossomStreet, WalkingCourse, WalkingPathsInSeoul, BanpoWalkingPath, SeoripoolGil, DatePlacesInSeoul, SeoripulPark, SeoulCherryBlossoms, BestWalkingPathsInSeoul, WheelchairAccessibleWalkingPaths",,,
039629,ENP039629,en,attraction,Culture > Parks,Chundangji Pond,On the rear garden grounds of Changgyeonggung Palace sits Chundangji Pond,"On the rear garden grounds of Changgyeonggung Palace sits Chundangji Pond. It is known for its beautiful nature and fall foliage. Chundangji consists of two parts. The smaller upper half is the original location of the pond, while the lower half was initially used as a naenongpo , a place for the royal court to experiment with planting crops such as rice. However, during the Japanese occupation in 1909, the naenongpo was converted into a pond. In 1986, it was renovated into a traditional Korean style. Visitors can also see the seven-story pagoda, made in 1470, sitting on the shore of the pond.","185, Changgyeonggung-ro, Jongno-gu, Seoul, Korea (와룡동, 창경궁)",37.5776239475981,126.993841430623,Daily 09:00 - 21:00 (Last entry at 20:00),"Adults (19-64) - KRW 1,000
Free: aged 18 and below, seniors (aged 65 and over), those wearing a Hanbok, Culture Day(the last Wednesday of every month)","Changgyeonggung, SeoulAttractions, SeoulNature, KoreanPalace, SeoulPalace, KoreanHistoricSites, Chundangji-Pond",https://royal.khs.go.kr/ENG/contents/E103010000.do,,
038861,ENP038861,en,attraction,Culture > Parks,World Cup Park's Dog Park,A space where visitors can have fun running around with their off-leash dog!,"World Cup Park's Dog Park is a space where visitors can take their dogs off leash and let them play and run around! Only registered dogs are allowed in the dog park, and when entering the park, visitors must bring a toilet bag and a leash. There are designated sections for different sized dogs: small, medium and large. Trash bins where visitors can dispose of their dog's waste are installed in the park so the puppies can run around in a clean and safe environment!","32, Jeungsan-ro, Mapo-gu, Seoul",37.564133892331,126.89244828144,,,"DogPlayArea, TravelWithDog, SeoulDogFriendly, DogWalkingArea, SeoulWalkingTrail, WorldCupParkDogPark, WorldCupPark, DogPark, SeoulWithDogs, DogWalking",http://animal.seoul.go.kr/animalplay,,
037160,ENP037160,en,attraction,Culture > Parks,Gyeongui Line Forest Park,"The Gyeongi Line Forest Park is a long section of land including Yeontral Park and Gyeongi Line Book Street, and is a place where you can enjoy green spaces in the city center.","The Gyeongui Line Forest Park is a 6.3 km long park that stretches from Gajwa Station in Yeonnam-dong, Mapo-gu, to the Wonhyo 1-dong Community Service Center, passing through Hyochang Park Station in Yongsan-gu. This park features Gyeongui Line Book Street and Yeontral Park. The longest section, Yeontral Park in Yeonnam-dong, is a popular gathering spot where young people lay out mats and enjoy beer. The park is a favorite among locals for walking and enjoying green spaces within the city. Some sections include recreated rails and crossings from the old Yongsan Line and display old train cars, making it an ideal place for reminiscing and relaxing.","188, Yanghwa-ro, Mapo-gu, Seoul, Korea (Aekyung Tower)",37.5594113610101,126.924879359583,,,"Outing, FamiliesWithChildren, GyeonguiLineForestPark, YeonnamdongDating, HongdaeAttractions, SeoulParkRecommendation, HongdaeWalkingArea, SeoulAccessibleTourism, YeontralPark, SeoulWalkingTour, Walk, SeoulFunThingsToDo, Park, ForestPath, SeoulDating",,,
037010,ENP037010,en,attraction,Culture > Parks,Gwangjin Forest Naru Park,A community park located at the northern end of the Cheonho-daero Tunnel.,"As a community park located between Guui-dong and Gwangjang-dong of Gwangjin-gu at the northern end of the Cheonho-daero Tunnel, Gwangjin Forest Naru Park captures a wide vista of the Hangang River and Cheonho-daero. The park has a small concert arena at its center called Naru Madang alongside a vast array of sights and sounds, including the Naru Waterfall and other beautiful scenic landscape. Be sure to check out the photo zones located throughout the park so as to not miss out on all the wonderful scenery the park has to offer!","760 Cheonho-daero, Gwangjin-gu, Seoul",37.546547775364,127.098248810186,,,"GwangjinPark, SeoulDrive, NeighborhoodPark, CommunityPark, Cheondaero, SocialDistancing, Gwangjingu, SeoulPark, GwangjinForestNaruPark",,,
036989,ENP036989,en,attraction,Culture > Parks,Seocho Culture & Arts Park,A park built in the third zone of Yangjae Citizens' Forest filled with gorgeous plane trees.,"Built in the third zone of Yangjae Citizens' Forest and having reached completion in May of 1994, the Seocho Culture & Arts Park is a relatively new addition to Seocho District and is comprised of all kinds of sculptures and special exhibition areas, an outdoor arena, and public plazas scattered throughout. The park has become a proud, cultural hub of Seocho as it continues to garner attention with its regularly-held public performances and exhibitions.","40, Baumoe-ro 12-gil, Seocho-gu, Seoul  (Yangjae-dong, Seocho Cultural Art Park)",37.4698840182934,127.032021588149,,,"AutumninSeoul, SeoulFoliage, YangjaeCitizensForest, SeochoCulture&ArtsPark, SeoulPark, FallLeaves",https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp,,
