place_key,source_cid,lang,kind,category,name,summary,description,road_address,latitude,longitude,hours,fee,tags,homepage_url,start_date,end_date
042004,ENP042004,en,event,Festivals/Events/Performances > Festivals,Hoegi-dong Annyeong Village,"Annyeong Village, where variously colored mural paintings warmly welcomes you",Annyeong village is where everyone works hard for a safe and joyful village by greeting and welcoming each other. The murals painted throughout the streets soften the atmosphere of the town. Let’s head to Annyeong Village to check out the colorful murals.,"102 Hoegi-dong, Dongdaemun-gu, Seoul",,,,,"Heogi-dong,  mural painting,  Annyeong Village, mural village, Hoegi-dong Annyeong Village,  Heogi",,,
036872,ENP036872,en,event,Festivals/Events/Performances > Festivals,Platform Chang-dong 61,"Platform Chang Dong 61 is a space for a new cultural trend and urban renewal northeastern Seoul, focusing on music and lifestyle.","Platform Chang-dong 61 is a trendy cultural complex where music and other forms of cultural content (e.g. education, exhibition) are showcased. With 61 containers stationed throughout approximately 2,123 m2 space, Platform 61 offers diverse cultural programs, such as a unique performance at The Red Box, and musical exhibitions as well as education sessions open to the public. A cultural space that invites citizens to participate. People who create space, people who fill the space—it is the citizens who make the place. A place that we all build together. Come visit and find out more about Platform Chang Dong 61.","74, Madeul-ro 11-gil, Dobong-gu, Seoul",37.6540775923559,127.048737337133,Hours vary by space and program.,"Varies by space and program
* Residents of four northeastern autonomous districts receive 30% discount!","RehearsalStudio, CulturalComplex, PracticeRoom, RecordingStudio, Gallery, PerformanceHall",http://www.platform61.kr/,,
036877,ENP036877,en,event,Festivals/Events/Performances > Festivals,Hongneung Forest (Arboretum),Hongneung Forest used to be the grounds of the tombs of King Gojong (the 26th king of Joseon) and Empress Myeongseong. It is a historical place as the first-generation arboretum in Korea.,"The nation’s first arboretum was created in Hongneung Forest in 1922. Currently, there are the coniferous garden, deciduous garden, herbaceous plant garden, and shrub garden covering a wide area. There are various indigenous animals and plants in the forest as well. In 2020, the forest was designated as a Seoul Future Heritage as it was acknowledged historically as the nation’s oldest arboretum.","57, Hoegi-ro, Dongdaemun-gu, Seoul",37.5940106033304,127.044831386238,"* Tuesday – Friday with Tour Guide (Reservation required): 
10:30, 13:30, 15:30 (60–90 mins)

* Weekends for Open Visit or Tour Guide (Reservation required): 
09:00 – 18:00 (March - October)
09:00 – 17:00 (November - February)",Free admission,"HongneungArboretum, FallFoliageSeoul, SeoulNaturalAttractions, HongneungForest, SeoulArboretum, SeoulDate, WalkingPathsSeoul, SeoulTravel",https://nifos.forest.go.kr/kfsweb/kfi/kfs/hongneung/selectHongForest.do?mn=UKFR_02_05_02_09_02,,
036730,ENP036730,en,event,Festivals/Events/Performances > Festivals,Solo Travel (Solo tour course),"Even amidst COVID-19, there are various solo tour courses through which travelers can enjoy Gangnam, a hot tourist spot of Seoul.","It seems like more and more people are enjoying solo travel content, such as solo camping and solo trips. However, it may be difficult to find a place to go to enjoy solo travel. Worry no more! Here are the places where you will be welcomed when you go solo. Follow these solo trip courses. Hyein's Blossom Nonhyeon (making your own soju glass) / Mizi Company in Dogok-dong (making your own item with mother-of-pearl) / Robin Hood (archery experience) / Ushiya (grilled dish for solo guests) / Koala Pocha (pub for solo guests) Hyein's Blossom Nonhyeon Flower School One-day class for making succulent plant cake 11, Gangnam-daero 132-gil, Gangnam-gu, Seoul (2F, Seongji Bldg.) +82-10-4305-5436 http://blog.naver.com/hyinsblossom Robin Hood Archery café B1, 13, Gangnam-daero 110-gil, Gangnam-gu, Seoul +82-507-1435-0360 https://www.insta gram.com/robinhood_gangnam/ Mizi Company (Dogok-dong) Making items with mother-of-pearl Mother-of-pearl experience kit (KRW 29,000 – KRW 32,000) 2814, Nambusunhwan-ro, Gangnam-gu (Rm. 201, Seoul Women Venture Plaza [Dogok Station]) https://blog.naver.com/mizi-com Ushiya Grilled dish for solo guests 11, Nonhyeon-ro 159-gil, Gangnam-gu, Seoul +82-10-9359-9667 Kim Sook-soo Restaurant Bar and restaurant for solo guests in Gangnam 72-9, Juheung-gil, Seocho-gu https://www.instagram.com/ kimsooksoo Sweet Castle Capsule sauna for men B1, 138, Bongeunsa-ro, Gangnam-gu +82-10-9798-4620",,,,,,"TodaysPlans, GangnamTour, ReservationForOne, SoloTrip, ExperienceTour, SoloTravel, PartyOfOne",,,
036729,ENP036729,en,event,Festivals/Events/Performances > Festivals,Experience & Tour Program,Experience and tour program for millennials seeking experience overconsumption.,"If you are fed up with visiting restaurants and tourist attractions, you might just be a millenial. Among the younger generations, ""experience tours"" are popular because it allows them to visit the city, have new experiences, and make their own souvenirs. Here are all the hot spots for experience tours where you can learn various contents and for which it is easy to make a reservation before visiting. 1. Ceradu One-day experience for making ceramics Together with family, friends, or couples ( KRW 40,000 – KRW 100,000 ) B1, Gyeyoo Bldg., 332, Nonhyeon-ro, Gangnam-gu, Seoul +82-2-558-9654 / ceradumine@gmail.com http://www.ceradu.com/ 2. Korea Culture Center Association Gangnam Branch Master Kim Su-geun's Hanji (Korean traditional paper) Art Subway Line 2 & Bundang Line, Seolleung Station, Exit 5 (Rm. 906, The-K Savings Bank Bldg.) +82-2-558-8850 / KakaoTalk ID: smileday57 http://gncraft.co.kr 3. Mukyeon Art Studio Drawing traditional color painting 4F, KH Bldg., 643-3, Sinsa-dong, Gangnam-gu, Seoul +82-10-4767-6722 https://blog.naver.com/cozizi1978/220892682411 4. Roha Studio Making soap candles One-day class for making candle (KRW 45,000 – KRW 65,000) 10, Bongeunsa-ro 4-gil, Gangnam-gu, Seoul (Rm. 204, Roha Candle) http://blog.naver.com/cafellate11 5. Lee Jong-im Cooking Class Cooking class for foreigners 27, Dosan-daero 61-gil, Gangnam-gu, Seoul (5F – 6F, Sudo Bldg.) http://soodocooking.co.kr",,,,,,"ExperienceTour, SoloTravel, OneDayClass, GangnamCultureCenter, ExperienceforForeigners, SoloTrip, CoupleExperience",,,
036751,ENP036751,en,event,Festivals/Events/Performances > Festivals,Modern History Memorial Hall,A space for commemorating patriotic martyrs and the site for historical education.,"Located in Suyu-dong, Gangbuk-gu, the Modern History Memorial Hall operates various cultural experience events every year, including a history class for adults, history program for adolescents, and memorial hall with commentary, which is a program associated with Gangbuk-gu culture guides. The Memorial Hall aims to become a space for commemorating patriotic martyrs as a site for lively historical education.","114, 4.19-ro, Gangbuk-gu, Seoul",37.6434410661945,127.002830628534,Daily 09:00 - 18:00 (Last entry at 17:30),Free admission,"Suyu, YouthEducation, BukhansanMountainCitizenExperience, HistoryClass, Gangbukgu, IndependenceMovementActivist, MemorialHall, ModernHistoryMemorialHall, PatrioticMartyr",http://mhmh.or.kr/,,
036752,ENP036752,en,event,Festivals/Events/Performances > Festivals,Kang Gam-chan Exhibit Hall,"Kang Gam-chan Exhibit Hall, where you can meet Great Commander Kang Gam-chan who played an active role in the golden age of Goryeo.","Kang Gam-chan Exhibit Hall was established to commemorate Great Commander Kang Gam-chan of Goryeo who led the great victory in the battle with the Khitan in 1019. Kang Gam-chan was born and grew up in Geumcheon-hyeon (currently Nakseongdae, Gwanak-gu), which is introduced in the ""Birth of a Star"" zone in the exhibition hall. In the ""Shining Star Hero"" zone, visitors can learn about the history of Goryeo and the international circumstances of the times. In particular, the battle with Khitan and the performance of Commander Kang are highlighted in the zone. In the ""Starlit World"" zone, a tale related to Kang Gam-chan is introduced and visitors can take a memorable photo in the ""Trick Art"" photo zone.","77, Nakseongdae-ro, Gwanak-gu, Seoul",37.4719720770814,126.959370998377,Daily 10:00 - 18:00 (January & February 10:00 - 17:00),Free admission,"AnguksaTemple, KangGamchanExhibitHall, NakseongdaePark, KangGamChan",http://www.gwanak.go.kr/site/gwanak/06/10604030600002017080901.jsp,,
036754,ENP036754,en,event,Festivals/Events/Performances > Festivals,Songpa Trail,"Songpa Trail connects the four streams that flow around Songpa-gu (Seongnaecheon Stream, Jangjicheon Stream, Tancheon Stream, and Hangang River).","Songpa Trail connects the four streams that flow around Songpa-gu (Seongnaecheon Stream, Jangjicheon Stream, Tancheon Stream, and Hangang River). As a 21-km circular trail along which nature, waterside spaces, and ecological streams come together in harmony, it is beloved not only by local residents but also visitors from the outside.","65 Hangaram-ro, Songpa-gu, Seoul",,,,,"JamsilDate, SeoulDullegil, HangangRiverDate, SongpaDullegil, HangangDullegil, SeoulDateCourse, SeoulExerciseDestination, Hanganggil, Tancheongil, SeoulWalkingArea, SeoulOuting",https://www.songpa.go.kr/culture/contents.do?key=3775&,,
035408,ENP035408,en,event,Festivals/Events/Performances > Festivals,"National Museum of Modern and Contemporary Art, Korea","The National Museum of Modern and Contemporary Art, Korea (Seoul) is the new heart of Korean culture in the city as well as a visitor-oriented museum with various convenience facilities. Visitors can enjoy both contemporary and modern art at the museum. The National Museum of Modern and Contemporary Art, Korea (Seoul), also known as an ""open museum in the city,"" is the very place where visitors can experience the joys of culture and the arts in Seoul.","The National Museum of Modern and Contemporary Art, Korea (Seoul) is a complex arts and cultural center with various facilities such as the Digital Information Room, Multi-project Hall, theater, and educational space. Visitors can encounter culture and arts of various genres through various exhibitions, films, performances, and educational experiences where they can catch a glimpse of modern art. The Seoul branch, surrounded by a yard, sits in the old Defense Security Command building and Jongchinbu Government Office. Visitors can also appreciate a painting of Inwangsan Mountain through the ""Inwang Jesaekdo,"" by Jeong Seon (Kyomjae). The Seoul branch, which sits across from Korea's most central area of Gyeongbokgung Palace, aims to be an open museum that prioritizes communication with locals and foreign visitors. The museum is an ""open museum in the city"" where anyone can enjoy modern and contemporary art.","30, Samcheong-ro, Jongno-gu, Seoul",37.5786280284849,126.980087994867,"* Tuesdays, Thursdays, Fridays & Sundays 10:00 - 18:00
* Wednesdays & Saturdays [Night openings] 10:00 - 21:00","Free admission until further notice
※ Current Entrance Fee: Ticket for all exhibitions KRW 4,000 
(Free every last Wednesday of the month [""Culture Day""])","ArtistName, NationalMuseumOfModernAndContemporaryArtKorea, MMCA, ExhibitionName",www.mmca.go.kr,,
032764,ENP032764,en,event,Festivals/Events/Performances > Festivals,Opening of Seoul Museum of Korean Folk Music,"A museum offering a rich collection of sounds of Korea, along with exhibition halls, listening rooms, and educational spaces.","A petite hanok building located on the site of the Border Defense Council of Joseon at the junction in front of Changdeokgung Palace on Donhwamum-ro. The building is Seoul Museum of Korean Folk Music where everyone can experience and enjoy the melodies of Korean folk music. The sound of farmers singing through strenuous farm work, the sound of fishers yanking fishing nets wishing for a full load of fish, the sound of women humming softly as they weaved hemp clothes, and the folk songs that have been passed from mouth to mouth. This is a place where you can listen to the unfamiliar yet comforting sounds to your heart's desire. The Seoul Museum of Korean Folk Music was established for Korean citizens and tourists visiting Korea from overseas to enjoy the sound of Korea that the Seoul Metropolitan Government has collected so far including 20,000 pieces of Korean folk music and 5,700 pieces of musical instruments. If Seoul Donhwamun Traditional Theater which is located not far from the museum is the center of the traditional Korean court music, this place offers a comprehensive view of Korean folk music in a systematic manner. Through the Seoul Museum of Korean Folk Music, the preservation of Korean oral folk songs, which are harder to hear these days, is now possible.","96, Yulgok-ro, Jongno-gu, Seoul",37.57716730514204,126.98969823366514,09:00 - 19:00,Free,"Museum, Korean, Music, Palace, Culture, FolkMusic, Seoul",http://gomuseum.seoul.go.kr/sekm/index,,
